# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
0044f7a0	ThrowerStateRearm	Class 0x31 state 29, character type 0x16's re-arm and its only caller-visible effect. Plays motion **5** -- 0044f7b9 6a05 / 0044f7c6 6a05, SetCurrentActorMotionBlended(obj+0x194, 5, 0, 5), the id and the fade both 5 -- and at the clip's exact MIDPOINT (obj+0x19C == g_motion_play_length[obj+0x1B4] / 2) swaps each bare hand model back to its armed one: obj+0x4DC 0x1F9F -> 0x1FA2 with the four attach floats at 0x554..0x560 and obj+0x1318 &= ~2, and obj+0x68C 0x1F9B -> 0x1F9E with 0x704..0x710 and obj+0x1318 &= ~4. Both tests are sequential, not exclusive, so a zsass that has thrown twice gets both weapons back on one frame. Exits to state 7 at play_length - 1 and clears obj+0x34 bit 0x2000. Those two hand slots are exactly what ThrowerHasBareHand (FUN_0044F720) reads, so this routine failing to run is self-perpetuating: state 7 offers 0x1D to ThrowerTryEnterState BEFORE it asks ThrowerPickNextState, so a thrower whose hands never re-arm re-enters this state every frame and the router -- the only route to state 8 and therefore to any attack at close range -- is never reached.
0044f900	ThrowerStateRestoreBothHands	Class 0x31 state 30. Waits for obj+0x136C bit 0x8000000 to clear, then puts both of character 0x18's weapons back -- bone 5's draw slot 0x1FF1 becomes 0x1FF3 and bone 8's 0x1FED becomes 0x1FEF, each with its hit sphere restored from PTR_DAT_004D032C -- and clears that arm's destroyed-zone bit. Returns to state 7.
0044faf0	ThrowerStateThrow	Takes an attack permit, picks a hand with ThrowerPickThrowingHand (FUN_0044F630), reads its entry from g_class31_throws[obj+0x130C] at index obj+0x131A<<4, plays the throw clip and calls SpawnThrownWeapon on the frame the entry names. Then hands to state 7. The three sub-states at obj+0x1312 FALL THROUGH into each other -- SUB EAX,0/JZ then DEC EAX/JZ twice at 0x0044FB16..0x0044FB23, each arm ending in INC word [ESI+0x1312] and running straight on -- so a throw can start and release on the same frame. Sub 0 also passes a START CURSOR to ActorSetMotionBlended, not frame zero: PUSH 0x4/PUSH 0x1a (6a04 6a1a) at 0x0044FB87 for every type but 0x18 and PUSH 0x4/PUSH 0x0 (6a04 6a00) at 0x0044FC68 for 0x18, both into the one CALL 0x004119a0 at 0x0044FC74, and FUN_004119A0 writes that third argument into obj+0x19C outright (param_1[2] = param_3; param_1[6] = param_3/2). So a zsass throw is 22 cursor ticks of wind-up against its entry's release frame of 48. Sub 2 is the exit: g_motion_play_length[obj+0x1B4] - 1 <= obj+0x19C plays sound 0x2916A9 and writes obj+0x1310 = 7, obj+0x1312 = 0 (66c786101300000700 at 0x0044FCE1). It re-arms NOTHING and releases NOTHING -- state 7 offers 0x1D (0x1E for type 0x18) to ThrowerTryEnterState before it asks the router, and the permit rides the projectile out of SpawnThrownWeapon; FUN_0044CFB0 has eight call sites and this is not one. Character type 0x18 is diverted out of that path TWICE, by two copies of CMP word ptr [ESI+0x1f4], 0x18 (6683bef401000018). At 0x0044FB7A it picks the CLIP: other types take it from the entry's +0x00 (MOVSX EDX, word ptr [EDI] -- 0fbf17 at 0x0044FB84), 0x18 jumps to 0x0044FB98 and indexes the 32-byte selector table at 0x0044FD1C by handIdx + 10*stance, stance = 3*bit8 + 2*bit7 + bit6 of obj+0x136C, bounded by CMP EAX,0x1f/JA at 0x0044FBC4, out through the nine-entry jump table at 0x0044FCF8 to motions 0x1F7/0x1F6/0x1FC/0x1FB/0x1F2/0x1F1/0x204/0x203 plus a default that plays the actor pointer itself as a motion id. At 0x0044FC83 it picks the RELEASE FRAME: other types compare obj+0x19C against the entry's +0x08 at 0x0044FC8D, 0x18 compares it against obj+0x1350, into which all eight arms have written the constant 0x19 = 25 (c7865013000019000000). That is the SAME word states 2 and 33 use for the landing surface -- one address, two readings, both inside class 0x31. The table at 0x0044FD1C is .text, not .rdata: one xref (the MOV CL at 0x0044FBCF), nine jump targets all inside this function, 24 of its 32 bytes unreachable dense-switch padding, and the clip ids MOV immediates in the arms. So it is NOT exportable as data; it is transcribed in web/src/game/class31/thrower.ts as THROW_BY_STANCE_ZSLMAN and ZSLMAN_RELEASE_FRAME under the .rdata/.text rule in docs/formats/bundle.md. [proved]
0044fd40	ThrownWeaponFlyToTarget	Projectile state 0. Launch sets ttl = distance * 0.8333 and velocity = (target - pos)/ttl, so the flight is a straight line at a constant speed. Every flight frame it tumbles the weapon by adding obj+0x135C to **obj+0x68** -- the Y term of ThrownWeaponUpdate's Rz*Ry*Rx draw, so the spin is about the weapon's own vertical -- negated unless obj+0x1358 is 5, which is which hand threw it. On ttl expiry it calls PlayerTakeDamage outright: the hit is TIMED, not tested. Then AimThrownWeapon points it back at the camera, it sticks for 0x1E frames and blinks for 0x3C by toggling obj+0x1F8 bit 0. The blink running out is where the THROWER'S ATTACK PERMIT is finally given back: CALL 0x0044cfb0 (e88ccfffff at 0x0045001F) on the projectile, whose obj+0x121 SpawnThrownWeapon copied off the thrower, immediately followed by the despawn. So a class-0x31 throw holds its permit for the whole flight plus 90 frames, and ThrowerStateThrow never releases one itself. [proved]
00450050	ThrownWeaponDeflected	Projectile state 1, entered when the weapon is shot out of the air. Spawns an impact sprite, plays BULLET_MET3, picks a random direction and flies off before despawning.
004503d0	AimThrownWeapon	Sets the weapon's target to a point 4 units in front of the camera, offset sideways by 0.6 per player in two-player.
004504e0	SpawnThrownWeapon	Allocates the projectile at the throwing hand's bone position, sets its model from the character type, leaves the hand bare, marks that arm's destroyed zone, and passes the thrower's attack permit to the weapon -- so the projectile damages the player the thrower had claimed. The hand-off is literal: MOV AL, [EDI+0x121] (8a8721010000 at 0x004506BB), MOV [ESI+0x121], AL (888621010000 at 0x004506C4) and then MOV [EDI+0x121], BL (889f21010000 at 0x004506D5) with BL zero from 0x0045050A -- the thrower is left holding 0, NOT -1 -- and the off-screen commit latch obj+0x136C bit 0x8000 moves across with it (TEST EAX,ECX/JZ at 0x004506DB, OR on the weapon's word, AND AH,0x7F on the thrower's). The projectile's own state and sub are zeroed at 0x00450742, and it frees the slot at the end of its life in ThrownWeaponFlyToTarget. [proved]
00450780	ThrownWeaponUpdate	The projectile's own update: two states at 0x00592AE0, then draws its model as Rz(obj+0x6C) * Ry(obj+0x68) * Rx(obj+0x1364 + obj+0x64). The **Y** term is the tumble -- ThrownWeaponFlyToTarget accumulates it into obj+0x68 -- and the X and Z terms are zero in flight, set only when the weapon lands and turns to face the camera. Registers for both the shot test and camera tracking, so a thrown weapon can be shot down and the camera will follow it.
00450b20	ThrowerStateStrikeOnTheSpot	Class 0x31 state 32. Plays motion 0x1B8, pins itself to where that clip ended, then loops: claim a permit if it has none, draw an attack index, play its strike clip calling ThrowerStrikeConnect, then the motion set's second idle for 0x78 frames, and strike again. It never leaves the state.
00450cf0	SelectActorGravityAxis	Sets obj+0x1354, the arc kind ActorArcVelocity switches on: 0 floor, 1 ceiling, 2 wall at +X, 3 wall at -X, 4 wall at -Z, 5 wall at +Z. Derived from the cardinal-snapped yaw and obj+0x136C bits 0x40, 0x80 and 0x100, and it agrees with the acceleration ThrowerStateKnockedTumbling writes on the same axis.
00450e40	ThrowerStateKnockedTumbling	Class 0x31 state 33, the shot reaction character type 0x18 takes instead of the stumble. Sub 0 picks the knock clip by stance -- 0x215 ground, 0x1FE and 0x1F4 the two walls, 0x206 ceiling -- fades it over 5 frames on a fresh knock or hard-cuts it on a re-entry (obj+0x136C bit 0x400000, which also skips the velocity clear and counts obj+0x1328 up), launches ThrowerBeginKnockbackArc while obj+0x1328 is under 2, and calls SelectActorGravityAxis. Then it rides the arc and bounces off whichever of the six axes obj+0x1354 names, standing 4.5 units off a wall, negating that axis by -0.5 and halving the other two, playing sound 0x2716A9 each time, until the speed on that axis drops to 0.15 or obj+0x1338 reaches 0x78. Landing waits (rand()%10+1)*3 frames, plays the stance's get-up clip -- 0x216 / 0x1FF / 0x1F5 / 0x207 -- and returns to state 7 with obj+0x133C = 0x14, a 20-frame window in which shots do nothing. A dead actor, or surface 0x5A under it, goes to ThrowerEnterCorpseState instead.
00451480	ThrowerStateBlinkInThreeHops	Class 0x31 state 34, an entrance; eight shipped spawns, all zslman in st6evtbl, covering all four surface stances. A three-hop blinking materialisation, not a retreat -- the earlier name ThrowerStateBackAwayThreeUnits was wrong. After the s32 delay at descriptor tail +0x04 it hops to origin + RotY(obj+0x68) * (0, 0, obj+0x1348 * 30) with obj+0x1348 counting 3, 2, 1, so 90 then 60 then 30 units from the origin it captured at entry, 30 frames apart -- obj+0x1344 is set to 30.0 and decremented on the hop frame itself -- blinking obj+0x138C and obj+0x136C bit 2 on g_frame_counter parity throughout. The stance idle is an immediate rather than a table lookup: 0x208 ground, 0x1FD, 0x1F3 and 0x205 by obj+0x136C bit6 + bit7*2 + bit8*3. It ends on sound 0x2225A9 STAGE6_SE MONITOR3, goes solid, and jumps to tail +0x03. EnemyThrowerInit special-cases this state for character type 0x18, starting it invisible.
00451720	RescueTargetInit	Class 0x21's handler -- the RESCUE TARGET, and the only branch writer arcade reaches whose class is an enemy. Builds a skinned character on motion 0x3E6 -- MOV dword ptr [EDI + 0x20], 0x3E6 (c74720e6030000) at 0x00451747 with EDI = obj+0x194, so the clip is a LITERAL and not read from the descriptor -- increments BOTH g_enemies_present (0x009C7006) and g_enemies_alive (0x009C904A), takes its hit points from g_class21_hp_by_rank (0x00565F0C, s16[16] indexed by g_damage_rank, giving 1 to 4), then enters RescueTargetRideInState. It also calls FUN_00452120(0), which is what SPAWNS THE STAGE-2 CAR object. One spawn in the shipped data: stage 2 block 0 step 2, script address 0x07D0, character type 7 (char_adv00), whose route record is {kind 1, next = 11, 1, -1}.
00451860	RescueTargetRideInState	Class 0x21's entrance. obj+0x1312 is the sub-state: 0 rides the object in along the active camera path -- its position is rebuilt every frame from (0, 50 - g_cam_path_frame, 50 - g_cam_path_frame) rotated by obj+0x68 -- and advances to 1 once the path frame passes 0x31. Sub-state 1 waits for the path frame to pass 0xBD, skipping frames 0x5A and 0x8C, then hands over to RescueTargetHeldState. g_cutscene_skipping (0x009A2230) short-circuits both.
00451980	RescueTargetHeldState	Class 0x21's live state, and one of the sixteen writers of g_script_branch_var. Walks its SIXTEEN body parts; a part with obj+0x34 bit 3 set decrements obj+0x11C by one, pays 10 points (120 plus the head combo for part 2) and clears the bit. When obj+0x11C reaches 0 the target is RESCUED: g_script_branch_var = 1, g_civilians_rescued_total and g_civilians_rescued_by_scene[scene] both increment, 0x36 is recorded in the per-scene rescue list at 0x009C8EC0, the player is paid 0x50 + 400, motion 0x3CC plays and both enemy counters come back down before it enters RescueTargetFreedState. The player credited is decided by obj+0x34 bits 1 and 2 -- bit 1 alone gives player 0, bit 2 alone player 1, and both or neither draws rand() & 1. g_script_flags[0] short-circuits the whole state into a despawn, as does the camera reaching path 0x39 frame 0x121, which is the abandoned path into RescueTargetAbandonedState.
00451d20	RescueTargetAbandonedState	Class 0x21 when the camera has left it behind -- entered from RescueTargetHeldState at path 0x39 frame 0x121, with both enemy counters already given back. Runs its idle animation until the camera reaches path 0x39 frame 0x181, then despawns.
00451d80	RescueTargetFreedState	Class 0x21 after the rescue: plays out the freed animation and, once obj+0x1F1 is raised, sets a 0x78-frame countdown, spawns the ground ring effect and moves to the routine at 0x00451DF0.
00451e50	RescueTargetPoseFromRoute	Class 0x21's pose: CamEvalObjectPath6(g_st2car_path_table[obj+0x1350], g_cam_path_frame) written straight onto obj+0x40/44/48 and obj+0x64/68/6C. [proved] the rescue target rides the STAGE-2 CAR's own object path -- index 0 is op_st2 0x148 during camera 0x38 and index 1 is op_st2 0x14E during 0x39, the same two routes FUN_004521B0 gives the car. Called first by RescueTargetRideInState in both sub-states.
00451eb0	RescueTargetPoseFromRouteWithVelocity	RescueTargetPoseFromRoute plus a per-frame delta: obj+0x13CC/0x13D0/0x13D4 = new pose - old pose, written before obj+0x40/44/48 are replaced. The only difference between the two, and the pair is near-identical on purpose. RescueTargetHeldState calls this one.
00451ff0	RescueTargetDraw	Class 0x21's draw. Loads the view matrix from g_camera_matrices + g_active_view * 0x69 dwords, transforms obj+0x40 into camera space, and draws through FUN_00411090 only if the transformed z is below float[0x004C436C]. L37: Ghidra's pseudocode ends at the MatrixStackPop and shows NONE of the distance test or the draw -- the tail is at 0x00452055-0x0045207C.
00452a10	ZombiePlayMotionFrameSe	The per-frame footstep and swish hook, called from EnemyZombieUpdate (FUN_004533F0) and nowhere else. A switch over the CURRENT MOTION at obj+0x1B4 -- 0xB, 0xB3, 0xC3, 0x108, 0x114, 0x1AE, 0x1C1, 0x1C3, 0x1C4, 0x2B5, 0x307, 0x30A, 0x310, 0x3B0, 0x3B1, 0x3C8 -- each arm naming one or two exact frames of that clip and one SE: 0x2616A9 (COMMON\ENE_WALK3_16), 0x2916A9 (ENE_WALK6_22), 0x3C16A9 and 0x3D16A9 (SWORD11_22 and its _1 twin). The play happens at 00452C51 only when the frame matched, the id is non-zero AND obj+0x1314 -- a s16 latch -- does not already hold the frame; then obj+0x1314 = obj+0x19C. Every arm reads obj+0x19C, so these are exact-frame cues on the play clock and not a timer. Sound only: nothing else reads obj+0x1314.
00452da0	EnemyZombieInit	class 0x30. params[0] = character type, params[2] = initial state (obj+0x1310), obj+0x1B4 = motion 0x3BC (956, zom.bin) or 0x41E on a branch. **It counts the actor into both enemy counters** -- g_enemies_present and g_enemies_alive each ++ -- but only when the character type is not 9 AND the initial state at obj+0x1310 is not 0x1F: state 31 (ZombieStateWaitScriptFlagThenEnter) counts itself in later, when its script flag comes up, which is the whole point of that state. Character type 9 gets a different update handler (LAB_00453290) and is not an enemy at all. Also seeds obj+0x136C from the descriptor, exactly as EnemyThrowerInit does: MOVSX EDX, word ptr [ESI+0x1316] (0fbf9616130000) at 0x00452E9A, OR EDX, 0x60000000 (81ca00000060) at 0x00452EA4 -- class 0x30's own CollideWorld|CollideActors -- then MOV dword ptr [ESI+0x136c], EDX (89966c130000) at 0x00452EAF. 76 of 345 shipped class-0x30 descriptors set that word, 52 of them to 0x20. The port exports the word as desc_flags but EnemyZombieInit does not yet read it; the bit names are [open].
